ID number,1a,1b,1c,2,3.a,3.b,3.c,3.d,3.e,3.f,3.g,4.a,4.b,4.b.name,StandardNames,4bApple,4bmingpao,4bsingtao,4bstar,4borient,4bothers,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,5.10.,5.11,6.a.,6b,6c,6d,6e,6f,6g,6h,7.a,7.b,7.c,7.d,7.e,7.f,7.g,7.h,7.i,7.j,8.a,8b,8c,8.d,8.e,8.f,8.g,8.h,8.i,8.j,8.k,8.l,9a,9b,9c,9d,10.aCleaned,10.bCleaned,10.cCleaned,10.dCleaned,10.eCleaned,10.fCleaned,10.gCleaned,10.hCleaned,10.iCleaned,10.jCleaned,11.a,11.b,11.c,11.d,11.e,11.f,12.a,12.b,12.c,12.d,12.e,12.f,13.a,13.b,13.c,13.d,13.e,13.f,13.g,13.h,13.i,13.j,13.k,13.I,13.m,13.n,13.o,13.p,14.a,14.b,14.c,14.d,14.e,14.f,14.g,15.a.Category,15.a.Category.v1,15.b.Category,15.b.Category.v1,15.c.Category,15.c.Category.v1,15.a.english,15.a.english.v1,15.b.english,15.b.english.v1,15.c.english,15.c.english.v1,17,18,19,20,21,22.a,22b,23,24,25,27.a,27.a_final,27.b,27.c,28.a,28.b,28.c,28.d,28.e,29.a,29.b,29.c,30,31,32,33,34,35,37,36a,36b,36c,36d,36e
13,3.5,0,0,2,0,0,0,0,0,1,0,0,1,apple,apple,1,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,1,1,1,0,1,NA,3,4,3,3,4,3,4,3,3,4,10,50,50,100,90,0,40,0,90,0,90,40,3,4,2,4,4,3,2,4,2,3,4,3,3,2,4,5,0,3,1,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,Personal,Qualifications,Qualifications,Qualifications,Qualifications,What is your name?,What is your name?,What is your education level/what are your grades?,What is your education level/what are your grades?,What is your education level/what are your grades?,What is your education level/what are your grades?,Illustrator,100000,10000,10000,TSW,1,Like high,1,1,NA,clerk,clerk,clerk,clerk,1,1,0,0,0,1,1,0,300,studnet,QWSOSASS,13,1,3,2,0,0,0,0,1
14,3.5,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,NA,3,3,2,3,3,4,3,3,3,3,90,100,80,90,100,80,90,90,80,90,90,90,1,4,7,1,3,4,3,2,3,3,1,2,3,2,3,5,0,7,2,0,3,5,0,6,2,0,francessca,0,0,dad,dad,mom,mom,mom,"dad,mom",francessca,jeffrey,john,me.worg,katterine,mom,0,0,bro,0,0,nicholas,bro,bro,Reasons,Reasons,Qualifications,Qualifications,Qualifications,Qualifications,Why do you want to join the company?,Why do you want to join the company?,What kinds of special/strong abilities/skills do you have?,What kinds of special/strong abilities/skills do you have?,Can you handle this job/can you do this job/how confident are you of doing this job/how well can you perform on this job,Can you handle this job/can you do this job/how confident are you of doing this job/how well can you perform on this job,vet / breeder,0,50000,100000,TSW,1,0,1,1,1,NA,NA,NA,NA,1,1,1,0,0,1,1,0,100,student,SC Chan,14,1,4,2,0,0,0,0,1
15,0,0,0,0,10,0,0,0,0,0,0,0,1,Headline Daily,Headline Daily,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,1,NA,3,3,3,3,3,3,3,2,2,2,90,80,60,80,90,90,90,90,70,0,60,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,NA,0,0,0,0,NA,0,2,4,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,0,student,0,14,1,4,2,0,0,0,0,1
16,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,NA,3,3,3,3,3,3,3,3,3,3,70,60,90,30,90,40,50,50,60,70,0,0,4,3,4,3,3,3,4,3,3,4,3,4,3,3,4,0,0,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0,200,Waiter,TSWMC,0,1,3,2,0,0,0,0,1
17,3.5,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,NA,3,3,3,3,3,3,3,3,3,3,100,90,90,90,90,90,90,90,90,90,60,80,2,4,7,1,4,4,2,2,3,3,2,2,3,1,4,8,6,20,5,0,4,5,6,6,3,0,ellie. Ka,0,0,Mum,Mum,sister,0,Fine,Mum,Ying,Fine,0,sister,Tiffany,sister,0,0,0,Fine,0,Fine,0,0,Reasons,Reasons,Qualifications,Qualifications,Job related,Job related,Why do you choose this job?,Why do you choose this job?,What kinds of special/strong abilities/skills do you have?,What kinds of special/strong abilities/skills do you have?,What position do you think can you handle,What position do you think can you handle,lawyer,0,0,0,TSW,1,0,4,4,1,Repair,Repair,NA,NA,1,1,1,0,0,1,1,0,500,student,SC Chan,14,1,4,2,0,1,0,0,0
18,8,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,1,NA,3,3,3,3,2,2,3,3,3,2,70,0,10,30,40,60,70,50,30,80,30,30,6,3,6,4,3,4,3,3,3,2,2,2,2,1,5,52,12,99,10,0,5,45,1,99,1,0,Shooting,Shooting,0,0,mother,sister,0,0,0,0,0,0,0,Sep,0,0,mother,chicken,0,0,0,0,0,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,NA,0,0,0,TSW,1,Tuen Mun Hospital,3,4,4,NA,NA,NA,NA,1,1,1,0,0,1,1,0,150,student,QESOSTKWSS,13,1,4,2,0,0,0,0,1
19,3.5,1,0,0,1,0,1,0,1,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,NA,3,3,2,2,3,3,3,3,3,2,80,80,90,100,80,80,90,60,70,0,80,70,2,5,6,3,2,4,4,1,3,3,3,3,3,2,2,4,2,7,1,0,2,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Future hopes,Future hopes,Working attitudes,Working attitudes,,,What are your aspirations/goals/exepectations in future?,What are your aspirations/goals/exepectations in future?,Intelligence/IQ,Intelligence/IQ,Missing,Missing,stable,0,0,0,TSW,1,0,1,1,1,NA,NA,clerk,NA,0,1,0,0,0,1,1,0,0,student,Zonta,17,1,3,2,0,0,0,0,1
20,7.5,3.5,3.5,2,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,NA,3,2,3,3,3,3,3,3,3,3,70,60,40,80,80,70,70,80,80,80,30,30,4,4,4,4,3,3,3,2,3,3,2,1,3,1,3,5,4,15,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,NA,0,0,0,0,NA,0,4,2,2,NA,NA,NA,NA,1,1,1,0,0,1,0,0,400,student,GLSC,18,1,3,2,0,0,0,0,1
21,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0,1,NA,3,3,3,3,3,3,3,3,3,3,80,80,80,80,80,80,80,80,80,80,80,80,6,6,6,6,3,3,3,3,3,3,3,3,3,3,2,1,1,30,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,Personal,Qualifications,Qualifications,,,How old are you?,How old are you?,What is your education level/what are your grades?,What is your education level/what are your grades?,Missing,Missing,manager,8000,16000,30000,TSW,NA,0,NA,NA,NA,Store manager,Store manager,NA,NA,1,1,0,0,0,1,0,0,0,Salesperson,0,18,1,4,1,0,0,0,0,1
22,3.5,0,3.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,NA,4,4,3,3,4,4,3,4,4,4,50,50,60,80,50,60,50,70,80,0,50,70,5,6,6,5,4,4,4,2,3,3,2,3,3,2,2,0,0,30,3,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,Team Leader,0,100000,150000,TSW,1,Tuen Mun Hospital,NA,2,NA,NA,NA,housewife,NA,1,1,0,0,0,1,1,0,"6,500",student,TSWMC,16,1,4,2,0,0,0,0,1
23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,NA,3,3,3,3,3,3,3,3,3,3,50,50,50,50,50,50,50,50,50,50,50,50,7,7,7,7,3,3,3,2,3,3,2,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,Online Seller,0,19,1,3,1,0,0,0,0,1
24,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,NA,4,3,2,2,3,2,3,3,2,2,30,40,20,60,70,70,80,90,90,10,30,50,3,4,5,4,3,3,4,3,3,3,2,4,3,2,2,3,0,6,0,2,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,cousin,cousin,0,0,0,miss tsui,0,0,miss tsui,0,father,0,0,0,Personal,Personal,Qualifications,Qualifications,,,What is your hobby?,What is your hobby?,Strengths and weakness,Strengths and weakness,Missing,Missing,Graphic Designer,10000,100000,100000,TM,4,People's Hospital,4,4,1,chef,chef,housewife,NA,1,1,1,0,0,1,1,0,"1,000",Salesperson,LKKC,19,1,3,2,0,0,0,0,1
25,1,1,1,1,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,NA,3,3,2,2,3,3,3,3,3,3,40,10,10,80,50,50,50,50,50,80,70,100,3,3,6,4,3,3,2,2,3,3,2,2,3,3,3,3,0,11,2,1,3,3,0,4,2,0,Sister,0,0,Andy,Father,aunt,Sister,Mother,Mother Father,cousin,tiffany Carendre,0,Sister,Sister,Sister,0,0,Sister,0,mother,0,father,0,Qualifications,Qualifications,Qualifications,Qualifications,Qualifications,Personal,What is your working experience?,What is your working experience?,Can you handle this job/can you do this job/how confident are you of doing this job/how well can you perform on this job,Can you handle this job/can you do this job/how confident are you of doing this job/how well can you perform on this job,What language do you know? How strong you are in them?,What is your hobby?,Acounntant,6000,100000,200000,TSW,2,Queen Elizabeth Hospital,5,5,2,manager,manager,manager,NA,1,1,1,0,0,1,1,0,500,Salesperson,LKKC,18,1,4,2,0,0,0,0,1
26,0,4,1.5,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,0,0,0,NA,3,3,3,3,3,3,3,2,2,2,10,0,20,0,50,70,70,70,50,0,30,50,4,2,3,3,3,3,3,2,3,3,3,3,3,3,4,10,0,18,3,0,3,10,0,6,2,0,brother Miss,Brother,Mum Dad,gary,gary,0,friend,0,mum,aunty,friend,0,0,friend,0,0,0,0,0,0,0,0,0,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,lawyer,0,20000,40000,TM,1,Port Security,2,1,2,businessman,businessman,NA,NA,1,1,1,0,0,1,1,0,"1,000",student,Lui Cheung Kwong,17,1,3,2,0,0,0,0,1
27,1,1,3.5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,NA,3,3,3,3,3,3,3,3,3,3,50,30,40,40,50,50,50,50,70,0,60,100,3,4,4,4,2,2,2,4,1,1,4,1,1,4,2,1,0,6,0,7,2,0,0,6,0,2,chawily,slwrm,0,Rachel,Kum,0,Dad,0,0,0,0,Sam,0,Mark,Jacky,0,0,Healthy,slwrm,Mum,0,0,0,Reasons,Reasons,Qualifications,Qualifications,Others,Others,Why do you choose this job?,Why do you choose this job?,Why are you suitable for this job,Why are you suitable for this job,What other questions do you have?,What other questions do you have?,Wuxi do it best,0,0,0,TM,3,St. Theresa Hospital,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,1,0,0,student,Guo Yiwei,20,1,1,1,0,0,0,0,1
28,2,11,3,2,0,0,0,0,0,4,Time,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,NA,4,4,4,4,4,4,4,4,4,4,60,10,10,100,100,100,100,100,60,70,70,100,6,5,5,2,3,3,3,2,3,4,1,3,1,3,2,0,0,1,0,0,1,0,0,1,0,0,Debate team coach,0,Uncle,DAd,0,0,0,0,0,0,0,dad,0,0,0,0,0,0,0,0,0,0,0,Qualifications,Qualifications,Future hopes,Future hopes,Qualifications,Qualifications,What is your education level/what are your grades?,What is your education level/what are your grades?,What are your aspirations/goals/exepectations in future?,What are your aspirations/goals/exepectations in future?,Strengths and weakness,Strengths and weakness,lawyer,0,0,0,TM,4,0,NA,4,1,NA,NA,NA,NA,1,1,1,0,0,1,1,0,NA,student,LCK,14,1,4,1,0,0,0,0,1
29,7.5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,NA,3,3,2,2,2,3,2,3,3,3,0,50,50,90,80,70,70,70,50,60,70,50,3,5,7,2,2,4,4,2,2,4,3,1,1,3,3,0,0,8,2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,Father,0,friend,0,0,friend mum,0,0,0,0,0,0,0,0,0,Job related,Job related,Salary,Salary,Personal,Personal,What expectations do you have for yourself on the job?/ What do you expect from the job?,What expectations do you have for yourself on the job?/ What do you expect from the job?,What is your expected salary level?,What is your expected salary level?,Where do you live/what is your living environment?,Where do you live/what is your living environment?,Cabin crew,0,0,0,TSW,5,0,1,5,1,retirement,retirement,CEO,NA,1,1,0,0,0,1,0,0,"3,000",0,KYW,16,1,4,1,0,0,0,0,1
30,5,3,1,1,0,0,0,0,0,0,0,0,1,apple,apple,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,NA,3,3,3,3,3,3,3,3,3,3,70,0,50,70,70,50,70,70,70,70,70,50,3,3,7,1,3,3,3,3,3,3,3,3,3,3,7,5,2,5,0,0,7,5,2,5,0,0,Miss Wong,Mr Yeung,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Qualifications,Qualifications,Company related,Company related,Qualifications,Qualifications,What is your working experience?,What is your working experience?,What can you contribute to this company,What can you contribute to this company,What kinds of special/strong abilities/skills do you have?,What kinds of special/strong abilities/skills do you have?,NA,0,0,0,TM,1,0,1,1,1,NA,NA,NA,NA,0,1,1,1,0,1,0,0,600,0,LCK,14,1,3,2,0,1,0,0,0
31,5,6,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,NA,4,4,4,4,3,4,3,4,4,4,100,90,80,50,80,40,30,30,20,50,70,70,4,4,4,4,4,4,4,4,4,4,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Missing,Missing,Missing,Missing,Missing,Missing,stable,15000,30000,40000,TSW,1,Tuen Mun Hospital,1,1,1,NA,NA,NA,NA,1,1,1,0,0,1,1,0,300,Student Waiter,18 township,19,1,3,1,0,0,0,0,1
32,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,1,NA,4,4,4,4,4,4,4,3,4,3,100,100,100,40,30,30,30,50,100,0,50,20,5,4,3,4,4,4,4,3,3,4,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Personal,Personal,Personal,Personal,Qualifications,Qualifications,What is your name?,What is your name?,How old are you?,How old are you?,What is your working experience?,What is your working experience?,stable,0,40000,50000,TSW,1,Tuen Mun Hospital,1,1,NA,NA,NA,NA,NA,1,1,0,0,0,1,1,0,"1,000",student,Tang Guohua,17,1,2,1,0,0,0,0,1
